date,count,year,month,day,station,name,awnd,pgtm,prcp,snow,snwd,tavg,tmax,tmin,tobs,wdf2,wdf5,wsf2,wsf5,wt01,wt02,wt03,wt04,wt05,wt06,wt08,wt09,wt13,wt14,wt16,wt17,wt18,wt19,wt22
2013-01-01T00:00:00Z,56953,2013,1,1,USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",,,,,,,26,15,15,"","",,,"","","","","","","","","","","","","","",""
2013-01-01T00:00:00Z,56953,2013,1,1,US1ILCK0036,"CHICAGO 4.7 NE, IL US",,,0,0,,,,,,"","",,,"","","","","","","","","","","","","","",""
2013-01-01T00:00:00Z,56953,2013,1,1,USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,,0,0,0,,25,11,,  360,   50,14.1,21,"","","","","","","","","","","","","","",""
2013-01-02T00:00:00Z,36830,2013,1,2,USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",,,,,,,29,14,22,"","",,,"","","","","","","","","","","","","","",""
2013-01-02T00:00:00Z,36830,2013,1,2,US1ILCK0036,"CHICAGO 4.7 NE, IL US",,,0,0,,,,,,"","",,,"","","","","","","","","","","","","","",""
2013-01-02T00:00:00Z,36830,2013,1,2,USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.05,,0,0,0,,30,10,,  190,  210,16.1,19.9,"","","","","","","","","","","","","","",""
2013-01-03T00:00:00Z,38808,2013,1,3,USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",,,,,,,30,21,21,"","",,,"","","","","","","","","","","","","","",""
2013-01-03T00:00:00Z,38808,2013,1,3,US1ILCK0036,"CHICAGO 4.7 NE, IL US",,,0,0,,,,,,"","",,,"","","","","","","","","","","","","","",""
2013-01-03T00:00:00Z,38808,2013,1,3,USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,,0,0,0,,29,18,,  280,  260,17,21.9,"","","","","","",    1,"",    1,"","","",    1,"",""
2013-01-04T00:00:00Z,50391,2013,1,4,USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",,,,,,,37,16,30,"","",,,"","","","","","","","","","","","","","",""
2013-01-04T00:00:00Z,50391,2013,1,4,US1ILCK0036,"CHICAGO 4.7 NE, IL US",,,0,0,,,,,,"","",,,"","","","","","","","","","","","","","",""
