count,year,month,day,date,dayow
56953,2013,1,1,2013-01-01T00:00:00Z,2
36830,2013,1,2,2013-01-02T00:00:00Z,3
38808,2013,1,3,2013-01-03T00:00:00Z,4
50391,2013,1,4,2013-01-04T00:00:00Z,5
48352,2013,1,5,2013-01-05T00:00:00Z,6
37549,2013,1,6,2013-01-06T00:00:00Z,0
40173,2013,1,7,2013-01-07T00:00:00Z,1
39395,2013,1,8,2013-01-08T00:00:00Z,2
42443,2013,1,9,2013-01-09T00:00:00Z,3
50096,2013,1,10,2013-01-10T00:00:00Z,4
57220,2013,1,11,2013-01-11T00:00:00Z,5
58749,2013,1,12,2013-01-12T00:00:00Z,6
45401,2013,1,13,2013-01-13T00:00:00Z,0
44555,2013,1,14,2013-01-14T00:00:00Z,1
44300,2013,1,15,2013-01-15T00:00:00Z,2
49059,2013,1,16,2013-01-16T00:00:00Z,3
54232,2013,1,17,2013-01-17T00:00:00Z,4
64849,2013,1,18,2013-01-18T00:00:00Z,5
63761,2013,1,19,2013-01-19T00:00:00Z,6
55986,2013,1,20,2013-01-20T00:00:00Z,0
46159,2013,1,21,2013-01-21T00:00:00Z,1
55426,2013,1,22,2013-01-22T00:00:00Z,2
56229,2013,1,23,2013-01-23T00:00:00Z,3
59459,2013,1,24,2013-01-24T00:00:00Z,4
67778,2013,1,25,2013-01-25T00:00:00Z,5
66052,2013,1,26,2013-01-26T00:00:00Z,6
51840,2013,1,27,2013-01-27T00:00:00Z,0
45322,2013,1,28,2013-01-28T00:00:00Z,1
48646,2013,1,29,2013-01-29T00:00:00Z,2
53266,2013,1,30,2013-01-30T00:00:00Z,3
60583,2013,1,31,2013-01-31T00:00:00Z,4
71272,2013,2,1,2013-02-01T00:00:00Z,5
64159,2013,2,2,2013-02-02T00:00:00Z,6
51344,2013,2,3,2013-02-03T00:00:00Z,0
50679,2013,2,4,2013-02-04T00:00:00Z,1
51862,2013,2,5,2013-02-05T00:00:00Z,2
54305,2013,2,6,2013-02-06T00:00:00Z,3
64702,2013,2,7,2013-02-07T00:00:00Z,4
75030,2013,2,8,2013-02-08T00:00:00Z,5
69166,2013,2,9,2013-02-09T00:00:00Z,6
53647,2013,2,10,2013-02-10T00:00:00Z,0
52787,2013,2,11,2013-02-11T00:00:00Z,1
54127,2013,2,12,2013-02-12T00:00:00Z,2
56182,2013,2,13,2013-02-13T00:00:00Z,3
63495,2013,2,14,2013-02-14T00:00:00Z,4
77743,2013,2,15,2013-02-15T00:00:00Z,5
86193,2013,2,16,2013-02-16T00:00:00Z,6
71185,2013,2,17,2013-02-17T00:00:00Z,0
47520,2013,2,18,2013-02-18T00:00:00Z,1
61244,2013,2,19,2013-02-19T00:00:00Z,2
66512,2013,2,20,2013-02-20T00:00:00Z,3
73897,2013,2,21,2013-02-21T00:00:00Z,4
83699,2013,2,22,2013-02-22T00:00:00Z,5
84190,2013,2,23,2013-02-23T00:00:00Z,6
62752,2013,2,24,2013-02-24T00:00:00Z,0
56067,2013,2,25,2013-02-25T00:00:00Z,1
58464,2013,2,26,2013-02-26T00:00:00Z,2
64236,2013,2,27,2013-02-27T00:00:00Z,3
73800,2013,2,28,2013-02-28T00:00:00Z,4
89967,2013,3,1,2013-03-01T00:00:00Z,5
88234,2013,3,2,2013-03-02T00:00:00Z,6
70969,2013,3,3,2013-03-03T00:00:00Z,0
65841,2013,3,4,2013-03-04T00:00:00Z,1
58436,2013,3,5,2013-03-05T00:00:00Z,2
66191,2013,3,6,2013-03-06T00:00:00Z,3
71752,2013,3,7,2013-03-07T00:00:00Z,4
82931,2013,3,8,2013-03-08T00:00:00Z,5
80622,2013,3,9,2013-03-09T00:00:00Z,6
65338,2013,3,10,2013-03-10T00:00:00Z,0
67022,2013,3,11,2013-03-11T00:00:00Z,1
67314,2013,3,12,2013-03-12T00:00:00Z,2
71988,2013,3,13,2013-03-13T00:00:00Z,3
79022,2013,3,14,2013-03-14T00:00:00Z,4
95706,2013,3,15,2013-03-15T00:00:00Z,5
132541,2013,3,16,2013-03-16T00:00:00Z,6
78966,2013,3,17,2013-03-17T00:00:00Z,0
68590,2013,3,18,2013-03-18T00:00:00Z,1
71316,2013,3,19,2013-03-19T00:00:00Z,2
70854,2013,3,20,2013-03-20T00:00:00Z,3
78727,2013,3,21,2013-03-21T00:00:00Z,4
90708,2013,3,22,2013-03-22T00:00:00Z,5
82433,2013,3,23,2013-03-23T00:00:00Z,6
60820,2013,3,24,2013-03-24T00:00:00Z,0
50875,2013,3,25,2013-03-25T00:00:00Z,1
52958,2013,3,26,2013-03-26T00:00:00Z,2
56457,2013,3,27,2013-03-27T00:00:00Z,3
63865,2013,3,28,2013-03-28T00:00:00Z,4
70100,2013,3,29,2013-03-29T00:00:00Z,5
64297,2013,3,30,2013-03-30T00:00:00Z,6
46523,2013,3,31,2013-03-31T00:00:00Z,0
52990,2013,4,1,2013-04-01T00:00:00Z,1
56916,2013,4,2,2013-04-02T00:00:00Z,2
62318,2013,4,3,2013-04-03T00:00:00Z,3
68156,2013,4,4,2013-04-04T00:00:00Z,4
84979,2013,4,5,2013-04-05T00:00:00Z,5
81095,2013,4,6,2013-04-06T00:00:00Z,6
65585,2013,4,7,2013-04-07T00:00:00Z,0
61183,2013,4,8,2013-04-08T00:00:00Z,1
63225,2013,4,9,2013-04-09T00:00:00Z,2
66144,2013,4,10,2013-04-10T00:00:00Z,3
74947,2013,4,11,2013-04-11T00:00:00Z,4
86606,2013,4,12,2013-04-12T00:00:00Z,5
85438,2013,4,13,2013-04-13T00:00:00Z,6
66299,2013,4,14,2013-04-14T00:00:00Z,0
62408,2013,4,15,2013-04-15T00:00:00Z,1
65283,2013,4,16,2013-04-16T00:00:00Z,2
75912,2013,4,17,2013-04-17T00:00:00Z,3
74780,2013,4,18,2013-04-18T00:00:00Z,4
89378,2013,4,19,2013-04-19T00:00:00Z,5
86061,2013,4,20,2013-04-20T00:00:00Z,6
67259,2013,4,21,2013-04-21T00:00:00Z,0
59123,2013,4,22,2013-04-22T00:00:00Z,1
71748,2013,4,23,2013-04-23T00:00:00Z,2
69450,2013,4,24,2013-04-24T00:00:00Z,3
74992,2013,4,25,2013-04-25T00:00:00Z,4
81976,2013,4,26,2013-04-26T00:00:00Z,5
83822,2013,4,27,2013-04-27T00:00:00Z,6
64624,2013,4,28,2013-04-28T00:00:00Z,0
53777,2013,4,29,2013-04-29T00:00:00Z,1
60072,2013,4,30,2013-04-30T00:00:00Z,2
64288,2013,5,1,2013-05-01T00:00:00Z,3
75401,2013,5,2,2013-05-02T00:00:00Z,4
89842,2013,5,3,2013-05-03T00:00:00Z,5
85529,2013,5,4,2013-05-04T00:00:00Z,6
68048,2013,5,5,2013-05-05T00:00:00Z,0
59362,2013,5,6,2013-05-06T00:00:00Z,1
63422,2013,5,7,2013-05-07T00:00:00Z,2
66981,2013,5,8,2013-05-08T00:00:00Z,3
78112,2013,5,9,2013-05-09T00:00:00Z,4
85713,2013,5,10,2013-05-10T00:00:00Z,5
76165,2013,5,11,2013-05-11T00:00:00Z,6
58944,2013,5,12,2013-05-12T00:00:00Z,0
59544,2013,5,13,2013-05-13T00:00:00Z,1
62448,2013,5,14,2013-05-14T00:00:00Z,2
69171,2013,5,15,2013-05-15T00:00:00Z,3
75392,2013,5,16,2013-05-16T00:00:00Z,4
92024,2013,5,17,2013-05-17T00:00:00Z,5
93211,2013,5,18,2013-05-18T00:00:00Z,6
81734,2013,5,19,2013-05-19T00:00:00Z,0
70558,2013,5,20,2013-05-20T00:00:00Z,1
69697,2013,5,21,2013-05-21T00:00:00Z,2
69963,2013,5,22,2013-05-22T00:00:00Z,3
81162,2013,5,23,2013-05-23T00:00:00Z,4
78493,2013,5,24,2013-05-24T00:00:00Z,5
79578,2013,5,25,2013-05-25T00:00:00Z,6
71121,2013,5,26,2013-05-26T00:00:00Z,0
44633,2013,5,27,2013-05-27T00:00:00Z,1
60221,2013,5,28,2013-05-28T00:00:00Z,2
66707,2013,5,29,2013-05-29T00:00:00Z,3
73509,2013,5,30,2013-05-30T00:00:00Z,4
90002,2013,5,31,2013-05-31T00:00:00Z,5
96641,2013,6,1,2013-06-01T00:00:00Z,6
78724,2013,6,2,2013-06-02T00:00:00Z,0
66947,2013,6,3,2013-06-03T00:00:00Z,1
70131,2013,6,4,2013-06-04T00:00:00Z,2
71164,2013,6,5,2013-06-05T00:00:00Z,3
79628,2013,6,6,2013-06-06T00:00:00Z,4
88888,2013,6,7,2013-06-07T00:00:00Z,5
96595,2013,6,8,2013-06-08T00:00:00Z,6
80348,2013,6,9,2013-06-09T00:00:00Z,0
69749,2013,6,10,2013-06-10T00:00:00Z,1
73062,2013,6,11,2013-06-11T00:00:00Z,2
74508,2013,6,12,2013-06-12T00:00:00Z,3
80010,2013,6,13,2013-06-13T00:00:00Z,4
89934,2013,6,14,2013-06-14T00:00:00Z,5
93621,2013,6,15,2013-06-15T00:00:00Z,6
75381,2013,6,16,2013-06-16T00:00:00Z,0
67316,2013,6,17,2013-06-17T00:00:00Z,1
68504,2013,6,18,2013-06-18T00:00:00Z,2
71553,2013,6,19,2013-06-19T00:00:00Z,3
75429,2013,6,20,2013-06-20T00:00:00Z,4
89722,2013,6,21,2013-06-21T00:00:00Z,5
92161,2013,6,22,2013-06-22T00:00:00Z,6
80301,2013,6,23,2013-06-23T00:00:00Z,0
70140,2013,6,24,2013-06-24T00:00:00Z,1
72888,2013,6,25,2013-06-25T00:00:00Z,2
69305,2013,6,26,2013-06-26T00:00:00Z,3
